Issue_time,Forecast_time,Coast,East,Far_West,North,North_Central,South,South_Central,West
2017-01-01 18:00:00+00:00,2017-01-02 06:00:00+00:00,8764.04,1079.1899,1877.8,671.77,9567.5596,2867.1299,5166.5298,1088.0699
2017-01-01 18:00:00+00:00,2017-01-02 07:00:00+00:00,8581.9502,1021.23,1882.5,657.455,9337.0596,2760.9199,4944.3901,1020.81
2017-01-01 18:00:00+00:00,2017-01-02 08:00:00+00:00,8465.0098,1009.08,1872.25,666.966,9148.5703,2673.5601,4747.21,1013.74
2017-01-01 18:00:00+00:00,2017-01-02 09:00:00+00:00,8456.4805,1018.14,1867.4301,673.951,9088.7305,2611.3401,4709.0698,1060.6899
2017-01-01 18:00:00+00:00,2017-01-02 10:00:00+00:00,8521.2402,1062.35,1867.29,715.7230000000001,9248.3096,2585.6599,4802.4199,1086.14
2017-01-01 18:00:00+00:00,2017-01-02 11:00:00+00:00,8568.1396,1109.12,1863.05,782.842,9428.0801,2523.29,4908.3701,1142.84
2017-01-01 18:00:00+00:00,2017-01-02 12:00:00+00:00,8527.6699,1155.66,1875.65,812.084,9681.2598,2497.6399,4964.9902,1186.6
2017-01-01 18:00:00+00:00,2017-01-02 13:00:00+00:00,8719.3496,1231.21,1884.61,834.7239999999999,10003.7002,2582.5801,5110.23,1227.8199
2017-01-01 18:00:00+00:00,2017-01-02 14:00:00+00:00,9181.1201,1337.15,1888.55,860.9760000000001,10545.9004,2716.4199,5305.4702,1256.75
2017-01-01 18:00:00+00:00,2017-01-02 15:00:00+00:00,9667.9199,1405.04,1897.6,885.1469999999999,10918.7002,2895.1399,5630.6499,1249.4301
2017-01-01 18:00:00+00:00,2017-01-02 16:00:00+00:00,10016.0,1460.86,1902.03,877.715,11260.2998,3121.45,5996.5898,1266.62
2017-01-01 18:00:00+00:00,2017-01-02 17:00:00+00:00,10279.0996,1465.42,1893.5601,869.304,11440.9004,3354.6599,6413.1201,1218.91
2017-01-01 18:00:00+00:00,2017-01-02 18:00:00+00:00,10317.7998,1466.55,1888.0601,873.7080000000001,11562.2998,3527.28,6723.3901,1137.12
2017-01-01 18:00:00+00:00,2017-01-02 19:00:00+00:00,10276.5996,1476.36,1896.38,861.635,11586.7002,3651.03,6873.2202,1113.89
2017-01-01 18:00:00+00:00,2017-01-02 20:00:00+00:00,10170.5996,1483.92,1891.16,858.0010000000001,11507.9004,3743.8501,6997.04,1115.72
2017-01-01 18:00:00+00:00,2017-01-02 21:00:00+00:00,10048.2998,1485.24,1893.53,870.084,11451.5,3716.49,6984.4702,1090.25
2017-01-01 18:00:00+00:00,2017-01-02 22:00:00+00:00,10214.4004,1543.95,1898.92,920.43,11877.0996,3694.79,7126.6499,1201.37
2017-01-01 18:00:00+00:00,2017-01-02 23:00:00+00:00,10254.9004,1569.96,1927.53,976.193,12359.0996,3712.45,7485.6299,1403.66
2017-01-01 18:00:00+00:00,2017-01-03 00:00:00+00:00,10001.9004,1512.71,1920.21,992.708,11971.0996,3567.8201,7229.73,1370.1899
2017-01-01 18:00:00+00:00,2017-01-03 01:00:00+00:00,9701.9404,1447.36,1921.41,983.389,11475.5,3438.8301,6780.5601,1316.24
2017-01-01 18:00:00+00:00,2017-01-03 02:00:00+00:00,9338.8096,1371.46,1911.77,981.854,10913.7002,3254.6899,6293.1499,1272.11
2017-01-01 18:00:00+00:00,2017-01-03 03:00:00+00:00,8836.0801,1252.2,1935.27,910.746,10084.2002,3002.27,5597.6499,1171.98
2017-01-01 18:00:00+00:00,2017-01-03 04:00:00+00:00,8246.8301,1148.9301,1947.59,840.443,9252.1797,2690.0601,4919.73,1087.59
2017-01-01 18:00:00+00:00,2017-01-03 05:00:00+00:00,7684.2202,1090.28,1952.0699,778.972,8842.5801,2395.73,4618.1299,1050.16
2017-01-02 18:00:00+00:00,2017-01-03 06:00:00+00:00,7356.9102,988.436,1942.98,748.145,8384.2402,2183.1599,4330.5801,992.207
2017-01-02 18:00:00+00:00,2017-01-03 07:00:00+00:00,7216.4902,956.978,1949.53,721.765,8209.6504,2086.4199,4180.98,987.59
2017-01-02 18:00:00+00:00,2017-01-03 08:00:00+00:00,7273.96,966.475,1949.0699,720.637,8277.0898,2105.73,4210.1401,996.948
2017-01-02 18:00:00+00:00,2017-01-03 09:00:00+00:00,7549.0,1009.61,1966.45,741.32,8594.3896,2167.71,4402.7402,1024.5601
2017-01-02 18:00:00+00:00,2017-01-03 10:00:00+00:00,8305.3799,1120.85,2014.46,797.283,9452.8096,2386.5,4967.6602,1088.51
2017-01-02 18:00:00+00:00,2017-01-03 11:00:00+00:00,9410.7598,1323.51,2096.1799,903.836,10825.5996,2854.4299,5934.6499,1200.04
2017-01-02 18:00:00+00:00,2017-01-03 12:00:00+00:00,9772.1201,1391.22,2145.71,947.57,11549.5,3006.21,6296.3198,1252.66
2017-01-02 18:00:00+00:00,2017-01-03 13:00:00+00:00,9722.8203,1348.89,2107.46,937.079,11389.2998,2891.8201,6069.04,1221.74
2017-01-02 18:00:00+00:00,2017-01-03 14:00:00+00:00,9784.7998,1312.41,2072.27,936.557,11316.5,2841.7,5902.75,1183.61
2017-01-02 18:00:00+00:00,2017-01-03 15:00:00+00:00,9905.4102,1271.9,2044.8101,933.185,11254.5,2825.1399,5842.8301,1148.5699
2017-01-02 18:00:00+00:00,2017-01-03 16:00:00+00:00,9978.6396,1221.16,2019.11,919.605,11140.2998,2839.53,5799.4199,1118.9301
2017-01-02 18:00:00+00:00,2017-01-03 17:00:00+00:00,10015.5,1180.15,1982.39,908.481,11009.5996,2848.72,5790.7998,1078.9301
2017-01-02 18:00:00+00:00,2017-01-03 18:00:00+00:00,10137.5,1160.27,1961.02,906.712,10937.2002,2886.0,5816.9902,1044.28
2017-01-02 18:00:00+00:00,2017-01-03 19:00:00+00:00,10190.2002,1134.4399,1944.8199,908.449,10837.4004,2927.47,5832.3901,1032.1
