Time,Coast,East,Far_West,North,North_Central,South,South_Central,West
2017-01-01 04:00:00+00:00,8923.36,1152.48,2023.24,800.51,9238.63,2422.49,4780.48,1041.66
2017-01-01 05:00:00+00:00,8613.27,1101.6,2018.81,805.23,8952.84,2350.83,4560.56,1033.16
2017-01-01 06:00:00+00:00,8381.21,1067.41,2015.93,800.8,8815.3,2314.58,4439.02,1041.9
2017-01-01 07:00:00+00:00,8133.69,1042.13,2014.04,793.57,8698.92,2224.56,4269.77,1020.39
2017-01-01 08:00:00+00:00,7953.95,1014.65,2021.11,807.95,8674.12,2176.31,4135.68,1016.36
2017-01-01 09:00:00+00:00,7830.12,975.13,2022.51,812.79,8726.43,2138.7,4072.77,1039.05
2017-01-01 10:00:00+00:00,7806.32,937.46,2024.63,826.04,8876.8,2122.79,4091.88,1060.28
2017-01-01 11:00:00+00:00,7899.83,971.04,2031.33,835.56,9159.24,2150.02,4198.2,1084.5
2017-01-01 12:00:00+00:00,7979.83,1056.82,2054.36,878.12,9475.83,2128.66,4324.17,1115.52
2017-01-01 13:00:00+00:00,8136.19,1109.13,2061.81,923.64,9777.04,2170.81,4463.39,1126.24
2017-01-01 14:00:00+00:00,8476.55,1169.1,2065.87,963.23,10178.93,2271.76,4619.78,1043.39
2017-01-01 15:00:00+00:00,8785.79,1179.54,2063.37,964.54,10341.89,2397.05,4693.66,1009.68
2017-01-01 16:00:00+00:00,9095.24,1208.9,2056.03,960.61,10245.72,2559.09,4789.24,993.5
2017-01-01 17:00:00+00:00,9398.6,1224.74,2044.29,955.83,10047.96,2691.9,4872.75,963.58
2017-01-01 18:00:00+00:00,9622.21,1225.44,2028.09,938.85,9740.21,2792.41,4953.94,958.14
2017-01-01 19:00:00+00:00,9748.71,1205.58,2020.75,935.54,9468.91,2855.99,5027.04,940.86
2017-01-01 20:00:00+00:00,9780.67,1203.39,2008.16,911.49,9369.59,2895.95,5111.52,928.77
2017-01-01 21:00:00+00:00,9750.7,1210.35,2000.09,871.04,9354.1,2903.77,5197.58,961.74
2017-01-01 22:00:00+00:00,9961.55,1292.64,2010.2,857.52,9808.92,2881.97,5353.58,1021.28
2017-01-01 23:00:00+00:00,10381.27,1349.35,2074.17,890.54,10480.63,3025.0,5735.77,1106.5
2017-01-02 00:00:00+00:00,10268.97,1328.74,2089.99,879.3,10425.39,3000.86,5693.34,1099.19
2017-01-02 01:00:00+00:00,10056.65,1299.44,2062.21,863.58,10213.19,2930.81,5527.05,1076.61
2017-01-02 02:00:00+00:00,9860.77,1263.02,2007.93,847.1,9972.77,2858.17,5322.59,1047.69
2017-01-02 03:00:00+00:00,9534.2,1169.3,1954.69,839.81,9462.91,2757.0,5010.98,1044.02
2017-01-02 04:00:00+00:00,9124.75,1127.08,1946.67,813.21,8920.75,2617.44,4659.1,960.66
2017-01-02 05:00:00+00:00,8732.41,1074.33,1958.37,741.98,8352.16,2481.24,4341.21,905.05
2017-01-02 06:00:00+00:00,8482.07,1018.02,1952.66,733.16,7879.02,2386.99,4127.78,925.94
2017-01-02 07:00:00+00:00,8349.85,990.02,1965.86,735.25,7673.26,2300.89,4009.89,904.21
