Time,Coast_0,Coast_1,Coast_2,Coast_3,Coast_4,Coast_5,Coast_6,Coast_7,Coast_8,Coast_9,Coast_10,Coast_11,Coast_12,Coast_13,Coast_14,Coast_15,Coast_16,Coast_17,Coast_18,Coast_19,Coast_20,Coast_21,Coast_22,Coast_23,East_0,East_1,East_2,East_3,East_4,East_5,East_6,East_7,East_8,East_9,East_10,East_11,East_12,East_13,East_14,East_15,East_16,East_17,East_18,East_19,East_20,East_21,East_22,East_23,Far_West_0,Far_West_1,Far_West_2,Far_West_3,Far_West_4,Far_West_5,Far_West_6,Far_West_7,Far_West_8,Far_West_9,Far_West_10,Far_West_11,Far_West_12,Far_West_13,Far_West_14,Far_West_15,Far_West_16,Far_West_17,Far_West_18,Far_West_19,Far_West_20,Far_West_21,Far_West_22,Far_West_23,North_0,North_1,North_2,North_3,North_4,North_5,North_6,North_7,North_8,North_9,North_10,North_11,North_12,North_13,North_14,North_15,North_16,North_17,North_18,North_19,North_20,North_21,North_22,North_23,North_Central_0,North_Central_1,North_Central_2,North_Central_3,North_Central_4,North_Central_5,North_Central_6,North_Central_7,North_Central_8,North_Central_9,North_Central_10,North_Central_11,North_Central_12,North_Central_13,North_Central_14,North_Central_15,North_Central_16,North_Central_17,North_Central_18,North_Central_19,North_Central_20,North_Central_21,North_Central_22,North_Central_23,South_0,South_1,South_2,South_3,South_4,South_5,South_6,South_7,South_8,South_9,South_10,South_11,South_12,South_13,South_14,South_15,South_16,South_17,South_18,South_19,South_20,South_21,South_22,South_23,South_Central_0,South_Central_1,South_Central_2,South_Central_3,South_Central_4,South_Central_5,South_Central_6,South_Central_7,South_Central_8,South_Central_9,South_Central_10,South_Central_11,South_Central_12,South_Central_13,South_Central_14,South_Central_15,South_Central_16,South_Central_17,South_Central_18,South_Central_19,South_Central_20,South_Central_21,South_Central_22,South_Central_23,West_0,West_1,West_2,West_3,West_4,West_5,West_6,West_7,West_8,West_9,West_10,West_11,West_12,West_13,West_14,West_15,West_16,West_17,West_18,West_19,West_20,West_21,West_22,West_23
2017-01-02 06:00:00,9020.7998,8764.04,8581.9502,8465.0098,8456.4805,8521.2402,8568.1396,8527.6699,8719.3496,9181.1201,9667.9199,10016.0,10279.0996,10317.7998,10276.5996,10170.5996,10048.2998,10214.4004,10254.9004,10001.9004,9701.9404,9338.8096,8836.0801,8246.8301,1151.11,1079.1899,1021.23,1009.08,1018.14,1062.35,1109.12,1155.66,1231.21,1337.15,1405.04,1460.86,1465.42,1466.55,1476.36,1483.92,1485.24,1543.95,1569.96,1512.71,1447.36,1371.46,1252.2,1148.9301,1878.17,1877.8,1882.5,1872.25,1867.4301,1867.29,1863.05,1875.65,1884.61,1888.55,1897.6,1902.03,1893.5601,1888.0601,1896.38,1891.16,1893.53,1898.92,1927.53,1920.21,1921.41,1911.77,1935.27,1947.59,719.346,671.77,657.455,666.966,673.951,715.7230000000001,782.842,812.084,834.7239999999999,860.9760000000001,885.1469999999999,877.715,869.304,873.7080000000001,861.635,858.0010000000001,870.084,920.43,976.193,992.708,983.389,981.854,910.746,840.443,9859.8896,9567.5596,9337.0596,9148.5703,9088.7305,9248.3096,9428.0801,9681.2598,10003.7002,10545.9004,10918.7002,11260.2998,11440.9004,11562.2998,11586.7002,11507.9004,11451.5,11877.0996,12359.0996,11971.0996,11475.5,10913.7002,10084.2002,9252.1797,2936.05,2867.1299,2760.9199,2673.5601,2611.3401,2585.6599,2523.29,2497.6399,2582.5801,2716.4199,2895.1399,3121.45,3354.6599,3527.28,3651.03,3743.8501,3716.49,3694.79,3712.45,3567.8201,3438.8301,3254.6899,3002.27,2690.0601,5460.8599,5166.5298,4944.3901,4747.21,4709.0698,4802.4199,4908.3701,4964.9902,5110.23,5305.4702,5630.6499,5996.5898,6413.1201,6723.3901,6873.2202,6997.04,6984.4702,7126.6499,7485.6299,7229.73,6780.5601,6293.1499,5597.6499,4919.73,1115.76,1088.0699,1020.81,1013.74,1060.6899,1086.14,1142.84,1186.6,1227.8199,1256.75,1249.4301,1266.62,1218.91,1137.12,1113.89,1115.72,1090.25,1201.37,1403.66,1370.1899,1316.24,1272.11,1171.98,1087.59
2017-01-03 06:00:00,7589.8101,7356.9102,7216.4902,7273.96,7549.0,8305.3799,9410.7598,9772.1201,9722.8203,9784.7998,9905.4102,9978.6396,10015.5,10137.5,10190.2002,10188.9004,10151.7998,10201.2002,10494.7998,10400.7002,10138.5,9667.4502,9030.2998,8439.4697,1038.15,988.436,956.978,966.475,1009.61,1120.85,1323.51,1391.22,1348.89,1312.41,1271.9,1221.16,1180.15,1160.27,1134.4399,1122.12,1141.64,1228.41,1345.58,1361.78,1343.28,1297.77,1232.9399,1162.42,1940.7,1942.98,1949.53,1949.0699,1966.45,2014.46,2096.1799,2145.71,2107.46,2072.27,2044.8101,2019.11,1982.39,1961.02,1944.8199,1933.11,1943.51,1959.28,2023.66,2064.79,2072.3701,2059.5901,2034.3101,2010.9399,776.82,748.145,721.765,720.637,741.32,797.283,903.836,947.57,937.079,936.557,933.185,919.605,908.481,906.712,908.449,899.443,916.953,955.503,1026.61,1020.97,1009.64,977.404,920.427,877.067,8704.1201,8384.2402,8209.6504,8277.0898,8594.3896,9452.8096,10825.5996,11549.5,11389.2998,11316.5,11254.5,11140.2998,11009.5996,10937.2002,10837.4004,10820.2998,11025.0996,11618.7002,12474.2002,12583.2002,12558.5,12261.5996,11724.2002,11251.0,2341.51,2183.1599,2086.4199,2105.73,2167.71,2386.5,2854.4299,3006.21,2891.8201,2841.7,2825.1399,2839.53,2848.72,2886.0,2927.47,2948.3,2969.03,2941.3201,3092.28,3142.1899,3099.54,2981.1101,2762.52,2509.98,4570.48,4330.5801,4180.98,4210.1401,4402.7402,4967.6602,5934.6499,6296.3198,6069.04,5902.75,5842.8301,5799.4199,5790.7998,5816.9902,5832.3901,5841.8398,5871.9902,5996.0498,6433.6299,6484.4302,6304.4902,5924.5298,5444.0801,4991.6899,1015.39,992.207,987.59,996.948,1024.5601,1088.51,1200.04,1252.66,1221.74,1183.61,1148.5699,1118.9301,1078.9301,1044.28,1032.1,1030.7,1045.5601,1075.6,1133.84,1155.1,1152.76,1132.63,1106.55,1081.6
2017-01-04 06:00:00,8166.75,8019.6201,7962.8198,8041.0601,8330.5498,9076.5898,10121.9004,10485.5,10443.4004,10506.0,10548.4004,10505.7998,10405.9004,10376.0996,10326.2998,10336.7998,10403.7002,10701.7002,11149.7002,11137.2002,10971.5,10558.7002,9957.29,9352.8896,1203.79,1181.53,1175.47,1194.83,1244.16,1367.42,1586.72,1653.6899,1607.8199,1577.85,1532.04,1465.64,1395.6,1351.99,1290.15,1283.98,1312.96,1426.54,1577.88,1598.78,1602.8199,1547.0,1450.73,1354.39,2047.83,2035.35,2031.5601,2036.21,2067.3,2134.6699,2238.53,2303.8601,2256.1499,2220.4099,2186.3401,2149.8899,2100.24,2082.3,2055.29,2040.33,2046.79,2065.52,2141.25,2182.55,2173.3799,2145.6001,2110.24,2079.0601,919.331,915.952,915.943,926.753,965.9,1058.87,1220.77,1271.48,1242.17,1222.6899,1177.37,1126.3199,1080.22,1035.75,999.304,975.786,986.708,1048.16,1143.37,1153.15,1139.58,1093.5601,1016.0,944.898,11438.0996,11278.9004,11321.2002,11579.5,12188.2002,13467.5,15351.0996,16205.2998,15762.5996,15389.5,14977.5,14452.0,13903.9004,13387.9004,12849.5,12522.0,12614.7998,13400.9004,14695.9004,14996.0,15042.7002,14635.0,13848.2998,13077.2002,2368.71,2241.24,2175.9099,2189.27,2245.45,2464.04,2943.6799,3094.0701,2968.05,2898.5801,2841.21,2768.53,2668.53,2601.79,2538.46,2490.51,2513.3601,2557.3401,2794.5901,2905.5601,2920.3201,2852.8899,2700.6001,2490.24,4734.8101,4703.8701,4772.27,4899.8101,5185.0098,5900.6299,7033.8701,7500.6299,7274.3901,7120.0298,6962.73,6770.3398,6605.5898,6475.8398,6367.8301,6379.6499,6539.98,6959.77,7653.2002,7867.0,7804.0098,7484.3799,6930.3198,6406.9102,1123.4301,1124.8199,1150.2,1182.11,1222.4301,1308.51,1445.24,1509.51,1477.35,1435.16,1396.6899,1344.9,1280.4301,1231.87,1188.22,1157.97,1169.6,1209.26,1315.97,1356.05,1362.22,1326.87,1270.24,1213.8
2017-01-05 06:00:00,9065.2695,8730.29,8530.9199,8522.4697,8773.5703,9530.5498,10603.7998,10887.7002,10735.7998,10709.0996,10678.0,10605.5,10527.7002,10515.7998,10391.4004,10302.0,10281.5,10515.7998,10967.2998,10846.7998,10611.0,10164.5996,9590.7197,9015.5098,1364.96,1337.15,1321.01,1337.05,1387.35,1506.09,1711.41,1770.64,1723.22,1669.6899,1610.75,1534.27,1476.4301,1430.75,1383.76,1376.02,1410.23,1519.14,1639.78,1656.5601,1645.25,1600.48,1552.11,1506.48,2219.97,2179.1499,2163.6499,2166.71,2178.4099,2219.3601,2281.71,2317.1001,2309.48,2321.1001,2310.8601,2302.1799,2291.1299,2284.6001,2286.01,2269.9099,2269.6101,2273.48,2337.8301,2386.3301,2415.21,2401.1599,2386.6001,2358.05,988.304,963.415,941.499,947.887,979.721,1061.61,1185.74,1230.16,1203.53,1186.0,1157.84,1120.3199,1079.29,1045.23,1036.5699,1021.48,1051.79,1122.65,1220.25,1219.04,1213.52,1171.72,1124.89,1085.23,13255.7998,13015.5996,12976.5,13102.0,13563.7998,14716.4004,16449.6992,17165.5996,16660.9004,16285.5996,15938.9004,15484.9004,15018.0,14652.5,14360.0,14295.2998,14667.7998,15592.7998,16690.5,16704.9004,16632.4004,16243.0996,15550.5,14921.5996,2323.95,2226.6399,2174.26,2176.02,2238.8201,2474.0901,2986.6101,3136.79,2975.7,2933.71,2910.79,2872.2,2830.3301,2828.1399,2833.0901,2834.52,2861.1001,2868.6001,3065.54,3146.3401,3128.77,3022.73,2825.76,2562.1499,6002.8999,5793.4302,5665.98,5729.3101,5954.3999,6578.79,7521.9702,7745.8398,7279.8398,6809.1499,6415.9102,6076.6001,5825.4102,5660.9902,5534.73,5472.3398,5518.3198,5814.4702,6467.02,6653.0098,6682.1499,6538.46,6318.52,6062.3999,1214.78,1188.42,1188.8101,1217.4,1258.3101,1352.99,1506.46,1577.6899,1549.52,1515.12,1483.7,1447.34,1397.24,1369.0699,1351.5601,1348.76,1362.4,1410.54,1494.77,1517.25,1528.54,1510.6,1491.41,1463.66
2017-01-06 06:00:00,8801.5996,8631.6504,8588.5898,8722.8496,8529.8896,9213.0801,10307.7998,11413.9004,11630.2002,12112.9004,12510.5,12250.7002,12147.7998,12237.7998,12329.7998,12184.5,12389.5,13042.5,13343.7002,13798.2002,13772.0,13375.0,12100.0996,11654.0996,1636.73,1589.4,1571.76,1629.15,1678.3199,1770.28,1891.59,2024.53,2157.6399,2117.6399,2037.42,2017.96,1937.37,1968.13,1940.13,1967.84,1983.4399,2119.5,2266.3501,2237.01,2166.98,2098.04,2088.5601,1995.76,2344.3501,2456.8701,2401.27,2382.96,2437.8799,2414.9399,2484.27,2491.25,2524.0701,2384.3799,2507.8101,2477.1201,2556.3301,2549.49,2470.99,2429.6499,2460.71,2582.71,2623.8401,2673.1201,2588.8301,2590.8,2530.6499,2388.8899,1191.42,1303.1899,1251.59,1205.77,1291.67,1315.84,1419.39,1477.48,1471.84,1534.1,1489.73,1452.67,1443.41,1345.3101,1371.65,1414.37,1437.4399,1494.01,1518.23,1535.09,1533.09,1527.6899,1444.28,1326.52,15340.5996,14886.2998,14376.0996,14615.9004,14504.5996,16068.0,17540.9004,18295.0996,18509.9004,18491.5,18811.0,19192.4004,18189.1992,17581.5996,17551.0996,16591.1992,17267.3008,18038.3008,19803.0996,20201.8008,19808.9004,19572.0996,18113.6992,17738.4004,2321.4099,2409.96,2090.3601,1861.1,2458.6599,2600.1499,2934.4399,3160.5801,3345.78,3575.3899,3878.8501,3955.1599,3941.3,4216.7798,4063.48,4292.4702,4268.9902,4477.2598,4661.4199,5003.1802,4875.2402,4665.0,4883.6201,4587.77,6032.9102,5827.71,5583.9102,6079.6602,6091.0898,6560.0601,7565.1899,8212.54,8322.5498,8499.21,8537.7998,8730.4004,8442.4697,8316.9805,8042.3198,8189.8101,8027.9199,8715.2998,9582.1504,10317.4004,9985.0596,9930.9102,9001.5303,8461.0498,1439.3,1467.74,1458.03,1312.8101,1461.73,1528.77,1685.62,1726.62,1721.8101,1708.8101,1680.54,1576.51,1654.11,1546.91,1647.58,1587.0699,1581.34,1652.9301,1707.36,1780.48,1788.71,1772.99,1747.15,1644.8199
2017-01-07 06:00:00,10844.2998,10470.4004,10229.2002,10416.9004,10829.7998,11610.7002,12652.5996,13306.5,13747.0,13912.7998,13839.4004,13341.2002,12625.4004,11968.0996,11478.0,11251.0,11298.7998,11999.5,13281.5996,13443.5996,13284.7002,12924.7002,12136.7998,11331.7998,1988.89,2015.64,2045.3101,2084.0801,2137.8601,2221.48,2382.8201,2458.47,2432.3799,2368.8899,2241.25,2115.1599,2002.84,1878.49,1772.9301,1746.64,1792.33,1949.9301,2107.6399,2117.98,2130.6699,2085.1499,1991.73,1909.6,2406.21,2443.8,2447.3601,2476.0801,2488.26,2525.8101,2572.6001,2586.1799,2550.77,2517.29,2485.9399,2443.4399,2437.3201,2424.78,2373.71,2379.3301,2380.02,2412.9099,2474.8799,2523.8501,2503.9299,2441.8501,2340.8,2345.77,1361.3,1363.97,1357.74,1345.21,1370.5,1403.26,1453.66,1481.48,1475.6,1464.17,1417.0699,1365.36,1314.76,1263.78,1225.86,1197.1899,1195.96,1229.87,1281.75,1294.8,1295.38,1270.3101,1240.74,1228.4301,16831.0,16688.9004,16739.4004,16950.0,17377.8008,18225.8008,19393.4004,20168.8008,19969.0,19415.5996,18738.9004,17805.5996,16875.8008,15889.0,15051.9004,14697.0996,14827.7002,15711.7002,16994.1992,17229.0996,17203.1992,16916.6992,16234.4004,15565.0996,4666.98,4649.02,4694.3101,4729.98,4787.8301,4963.2202,5253.8599,5379.0298,5355.1001,5254.73,5078.2402,4878.8301,4658.04,4478.8799,4315.0098,4193.3301,4189.5801,4262.6299,4487.1802,4599.6099,4630.4702,4596.2598,4408.71,4225.4902,7316.6001,6943.46,6685.8101,6995.21,7527.52,8465.8096,9683.2402,10607.4004,10553.2998,10004.2002,9369.75,8609.6201,7817.2402,7150.5801,6715.6499,6583.0601,7072.6001,7973.52,9388.5303,9800.0596,9674.6699,9292.2998,8344.0596,7461.8301,1772.1,1790.55,1837.0601,1865.3199,1894.36,1934.92,2007.37,2069.23,2040.6801,1944.4399,1865.5601,1790.5601,1705.3199,1639.83,1577.4301,1543.13,1546.74,1591.9399,1717.3,1789.76,1830.3101,1840.9301,1803.47,1751.83
2017-01-08 06:00:00,10258.5996,9861.8701,9640.96,9899.0898,10380.5,11227.7002,12358.2002,13007.2998,13337.9004,13387.0996,13158.0,12677.2002,12030.0996,11494.5,11045.0,10730.0996,10764.2998,11642.9004,13384.9004,13434.2002,13055.7998,12273.9004,11221.0,10053.5,1851.7,1827.1,1829.1801,1894.95,1958.9301,2076.3999,2294.3999,2396.76,2365.3701,2261.5901,2048.27,1859.9,1747.41,1621.72,1515.5601,1503.0601,1587.62,1812.63,2066.6699,2099.1399,2100.74,2012.97,1833.11,1690.8199,2301.4399,2326.0601,2330.28,2360.5601,2376.55,2422.21,2478.47,2509.21,2471.5,2425.6299,2378.8999,2334.3601,2324.27,2304.1499,2242.74,2241.78,2245.8701,2285.3799,2381.3201,2452.3999,2438.1499,2374.1299,2254.1799,2229.05,1248.53,1243.0601,1232.72,1232.09,1264.92,1311.02,1385.49,1434.6,1434.45,1417.53,1356.03,1294.23,1234.09,1173.4,1127.17,1107.8199,1112.95,1165.76,1237.58,1263.39,1263.3199,1227.0601,1164.47,1117.78,14897.0,14520.7002,14333.5996,14649.4004,15185.7998,16177.7002,17505.5,18449.8008,18387.0,17790.0996,16925.5996,15881.7998,14932.0996,13939.2998,13124.9004,12746.2002,12909.5,14034.2002,15782.2998,16244.2002,16146.7998,15611.2002,14663.7002,13655.2002,4024.1101,3904.71,3846.24,3916.45,4025.6499,4252.46,4632.5,4720.5,4585.5601,4402.6099,4111.6401,3777.4099,3476.6499,3231.25,3004.0601,2836.77,2779.05,2848.6899,3189.2,3386.9299,3437.79,3434.9099,3303.48,3098.8899,6381.5801,6042.1299,5798.1099,6181.3901,6785.4399,7770.7998,9055.6504,9934.8701,9743.0801,9020.75,8245.7598,7435.2798,6756.4302,6195.46,5877.77,5838.9902,6330.4399,7300.0498,8996.6602,9572.6699,9400.3701,8873.3301,7995.0698,7039.3701,1670.11,1643.53,1636.6899,1658.12,1697.29,1766.21,1870.67,1953.72,1914.72,1803.4301,1697.03,1596.91,1512.0601,1451.29,1390.86,1343.55,1342.71,1404.1899,1567.41,1656.62,1697.9,1685.38,1594.74,1491.17
2017-01-09 06:00:00,9465.0703,9201.3496,9114.04,9169.5996,9498.2197,10264.2002,11285.0996,11636.7002,11550.4004,11560.7002,11548.5996,11544.2998,11505.7998,11531.4004,11486.7002,11430.9004,11437.0,11679.0996,12137.0996,11964.0,11649.5996,11114.7998,10406.5,9680.96,1618.6,1592.1899,1576.0,1596.14,1651.17,1772.86,1978.75,2044.51,2011.24,1957.8199,1886.37,1807.1899,1733.0601,1685.16,1636.3199,1619.12,1633.8,1689.53,1757.2,1736.49,1694.75,1610.33,1490.9399,1379.67,2097.49,2079.21,2066.1799,2077.6699,2101.49,2151.77,2235.99,2288.75,2253.5,2205.0701,2166.6699,2135.26,2100.8101,2084.75,2061.76,2043.99,2039.34,2036.5699,2092.55,2129.4299,2133.46,2118.73,2080.54,2042.01,1092.9301,1075.1899,1069.98,1084.91,1114.1899,1191.0601,1313.3101,1358.12,1333.3,1305.96,1275.98,1231.8,1183.9399,1144.88,1117.62,1113.11,1106.1801,1129.41,1170.59,1166.87,1150.97,1118.05,1056.0699,989.026,13251.0996,12988.5,12930.5,13105.5996,13589.2998,14658.7002,16202.2998,16812.8008,16309.0,15828.9004,15404.7002,14946.2998,14503.2998,14121.4004,13746.5,13460.0996,13437.2998,13772.4004,14481.2998,14376.4004,14017.4004,13343.7002,12224.0996,11170.7998,2984.9099,2820.3701,2729.24,2728.4199,2811.6201,3085.8899,3621.99,3754.5701,3564.6101,3462.5601,3381.1499,3316.6001,3253.03,3198.05,3143.74,3093.2,3085.6799,3064.8301,3299.3999,3370.26,3343.4099,3226.8401,3002.3101,2724.3999,6249.54,6062.27,5978.1899,6085.8398,6366.3398,7062.0801,8067.2598,8396.1699,8031.1001,7633.3398,7291.02,6970.5498,6742.46,6574.1401,6442.4399,6383.6099,6405.0098,6662.0898,7209.9399,7220.4399,6982.1899,6548.52,5989.5,5438.5801,1421.89,1377.64,1365.86,1393.62,1451.72,1560.73,1757.03,1855.9399,1751.55,1597.61,1486.4301,1385.3199,1303.58,1265.91,1206.13,1165.42,1157.29,1198.73,1375.5601,1453.22,1484.55,1454.5,1371.2,1291.54
2017-01-10 06:00:00,8981.7002,8667.9502,8475.4697,8426.0098,8605.2197,9205.4404,10116.2002,10394.5996,10374.0996,10543.2998,10777.0996,10942.7998,11077.7002,11198.2002,11193.2002,11140.7998,11087.9004,11185.9004,11452.0,11273.7998,11009.4004,10539.5996,9891.2002,9246.7803,1363.2,1306.42,1269.35,1256.02,1284.1,1381.51,1572.16,1625.86,1602.1801,1607.77,1599.8,1568.9399,1530.98,1518.27,1489.3101,1472.23,1486.23,1540.16,1616.78,1603.3,1558.24,1477.21,1366.52,1256.11,2039.0699,2017.23,2004.97,2001.04,2014.35,2070.4399,2180.1899,2242.49,2205.29,2166.21,2150.76,2149.5901,2138.76,2149.76,2148.9299,2146.96,2141.01,2119.2,2156.76,2189.8101,2166.74,2124.3601,2064.3799,2013.12,901.506,889.966,883.48,875.544,884.36,939.121,1076.55,1111.42,1085.37,1085.01,1086.05,1062.8101,1044.35,1035.02,1031.47,1013.96,1008.8,1022.19,1073.0699,1066.86,1053.63,1016.69,934.253,870.687,10053.5996,9522.2305,9164.71,9135.2305,9402.9004,10316.7998,11860.5,12485.0,12212.2998,12184.9004,12186.7002,12148.0996,12090.0996,12049.0996,11910.7998,11752.2998,11723.7998,12047.4004,12686.5,12515.2998,12132.9004,11436.0,10408.0,9434.7998,2486.45,2369.8999,2307.23,2310.6001,2352.3501,2550.55,2994.6299,3129.8101,3045.2,3064.47,3112.47,3167.2,3214.1001,3275.4099,3321.28,3345.26,3354.6299,3306.9199,3435.78,3466.49,3393.3799,3252.1499,2994.95,2715.95,4888.7202,4670.5801,4578.75,4570.75,4704.4199,5195.3398,6071.8301,6388.5498,6227.4302,6197.71,6197.25,6206.3301,6225.9102,6260.54,6278.3198,6302.96,6341.6899,6498.8198,6934.75,6952.0498,6727.6499,6305.75,5717.8101,5149.4702,1214.21,1188.01,1175.88,1174.11,1197.5699,1273.84,1422.86,1476.35,1417.34,1374.49,1350.12,1327.5,1295.0,1281.8101,1276.67,1268.74,1266.62,1258.02,1330.35,1347.66,1314.6,1257.3,1181.65,1110.9301
2017-01-11 06:00:00,8650.3604,8360.8701,8181.5,8145.4502,8321.8799,8921.7197,9836.1396,10114.2998,10131.2998,10351.2002,10660.2998,10914.0996,11114.7998,11337.2998,11473.0,11509.2002,11465.0,11512.5996,11734.0,11533.5996,11240.2998,10745.4004,10111.5996,9415.8799,1142.14,1099.8,1075.3199,1059.65,1077.41,1160.99,1351.6899,1397.7,1382.21,1410.78,1411.08,1405.23,1382.42,1393.11,1386.72,1383.39,1404.74,1453.22,1530.47,1493.74,1445.29,1369.46,1270.74,1166.02,1978.22,1960.21,1951.1,1954.9399,1977.05,2037.35,2144.8799,2202.22,2163.9199,2127.1699,2108.0701,2103.77,2091.0601,2106.5601,2105.6399,2099.3601,2093.9199,2072.6399,2110.96,2133.0801,2103.3101,2063.71,2012.78,1965.64,859.678,839.9730000000001,827.898,815.972,834.7760000000001,896.378,1051.29,1085.25,1065.59,1079.3,1086.9399,1088.28,1094.88,1118.48,1134.4,1134.51,1140.39,1151.9399,1176.24,1137.95,1106.6899,1055.85,951.37,851.586,8660.7305,8292.3301,8115.04,8170.23,8479.25,9357.2803,10847.0,11532.5,11340.2998,11350.9004,11385.0996,11396.4004,11409.7998,11481.2002,11509.5,11545.5,11615.7998,11927.0,12559.0996,12367.2002,12044.7998,11453.0996,10526.5996,9545.0996,2431.6899,2281.1899,2182.8201,2184.71,2219.3501,2415.48,2843.6101,2973.78,2931.6101,2985.8101,3094.8501,3216.7,3325.4199,3427.8501,3505.3301,3536.74,3546.3201,3453.25,3542.3,3550.45,3459.1899,3305.05,3052.6699,2753.4399,4610.2202,4336.8101,4163.98,4145.3198,4261.5601,4695.8799,5517.8501,5855.71,5742.5601,5755.0801,5827.73,5901.7002,6005.75,6124.3701,6229.6899,6353.0,6477.73,6635.96,6971.5,6929.6299,6683.5698,6278.9102,5721.3701,5132.9399,993.706,958.185,940.528,958.364,982.851,1060.05,1217.92,1286.7,1239.42,1207.41,1184.4399,1171.8,1156.14,1162.95,1178.5699,1189.4399,1200.12,1198.77,1273.92,1280.87,1238.04,1177.8199,1107.5601,1026.22
